recipe_name	ingredient_not_found	Error	item_link	weight	quantity	energy_gm	protein_gm	fat_gm	carbs_gm	total_dietary_fibre_gm	sugar_gm	sodium_mg	trans_fat_gm	total_saturated_fat_gm	cholesterol_mg	added_sugar_gm	0	0	0
dahi bhindi ki sabji,dahi bhindi,tangy dahi wali bhindi,okra in yogurt sauce	SUCCESS	SUCCESS	https://www.tarladalal.com/Dahi-Bhindi-ki-Subji-3568r	100	0	60.09090909	2.865393939	2.799333333	6.67769697	1.616969697	0.783333333	509.9393939	0.025515152	1.038424242	2.909090909	0			
silken chocolate shake	SUCCESS	SUCCESS	http://www.foodnetwork.com/recipes/tyler-florence/silken-smoothie-recipe-1910380	100	0	60.14035435	1.995583945	1.09572397	10.73319669	0.601398601	5.814525357	0.454545455	0	6.99301E-05	0.29572028	0			
spinach raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Spinach-Raita-(--Low-Calorie-Healthy-Cooking)-1363r	100	0	60.24763194	3.412652233	2.572801083	6.055439783	0.587280108	0.57902571	332.8132612	0	1.633376184	4.871447903	0			
lamb curry,mutton curry,goat curry	SUCCESS	SUCCESS	http://www.bawarchi.com/recipe/a-quick-and-simple-mutton-lamb-curry-oertuUgjicjfb.html	100	0	60.2568306	1.089344262	2.921584699	7.772131148	1.825136612	1.006010929	645.9644809	0.307431694	5.960218579	0	0			
palak raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Palak-Raita-Or-How-To-Make-Spinach-Raita-Recipe-37297r	100	0	60.28187919	3.385167785	2.552080537	6.140872483	0.582550336	0.708322148	590.2550336	0	1.620221477	4.832214765	0			
bean sprouts n capsicum salad	SUCCESS	SUCCESS	https://www.tarladalal.com/Bean-Sprouts-and-Capsicum-Salad-4609r	100	0	60.84790595	3.694459956	2.906539309	6.553350478	1.990521675	4.178104335	340.7692873	0.019397502	0.299290228	0	0			
gajar mircha nu sambhaariyu,gajar sambhaaro,carrot sambhaaro,gajar marcha nu sambhariya	SUCCESS	SUCCESS	https://www.tarladalal.com/Gajar-Marcha-Nu-Sambhaariyu--(-Gujarati-Recipe)-576r	100	0	61.62790698	1.06744186	3.746511628	6.555813953	2.376744186	2.204651163	482.7674419	0.061395349	0.17872093	0	0			
mango berry magic shake	SUCCESS	SUCCESS	http://www.bhg.com/recipe/drinks/strawberry-mango-milk-shake/	100	0	61.63157895	1.613684211	1.315789474	11.27052632	1.263157895	5.216842105	242.1052632	0.016	0.995157895	48.84210526	0			
almond milkshake	SUCCESS	SUCCESS	0	100	0	62.62079282	1.458713538	1.738219895	10.0538893	0.040688108	9.113059088	53.18249813	0	3.73972E-05	3.051608078	0			
chicken waldorf salad	SUCCESS	SUCCESS	0	100	0	62.80343214	4.78023921	2.038325533	6.286323453	1.205408216	2.766718669	227.8829953	0.013520541	0.488278731	19.27717109	0			
fresh grape juice	SUCCESS	SUCCESS	0	100	0	64.53424658	0.342465753	0.205479452	15.41013699	0.821917808	4.101369863	1.136986301	0	0	0	0			
mint raita,pudina raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Mint-Raita-(--Phudina-Raita)-4243r	100	0	64.82432432	3.898716216	2.680202703	6.455540541	1.092567568	0.689527027	585.7094595	0	1.631993243	4.864864865	0			
dhania murgh makhani,dhani chicken,creamy corander chicken,coriander chicken	SUCCESS	SUCCESS	https://www.archanaskitchen.com/dhania-murgh-makhani-recipe	100	0	64.96922216	2.029932848	2.071721694	9.787058385	2.403003171	0.239638127	200.5900019	0.068886402	1.435215072	1.11919418	0			
mocha shake	SUCCESS	SUCCESS	https://www.bbcgoodfood.com/recipes/408616/mocha-milkshake	100	0	65.70653686	3.105702364	2.956189152	6.677329624	0.001112656	0.126731572	1021.077886	0.194714882	1.853901252	11.76634214	0			
cheeky coffee shake	SUCCESS	SUCCESS	https://www.bbcgoodfood.com/recipes/408616/mocha-milkshake	100	0	65.70653686	3.105702364	2.956189152	6.677329624	0.001112656	0.126731572	1021.077886	0.194714882	1.853901252	11.76634214	0			
fresh mango juice	SUCCESS	SUCCESS	0	100	0	66.5890411	0.410958904	0.273972603	15.68410959	1.369863014	4.101369863	18.94520548	0	0	0	0			
thai style prawn bisque	SUCCESS	SUCCESS	http://www.sanjeevkapoor.com/Recipe/Thai-Style-Prawn-Bisque-Sanjeev-Kapoor-Kitchen-FoodFood.html	100	0	66.6098752	6.78168204	2.570048833	2.053629951	0.094411286	0.354530657	229.2262615	0	0.001321758	0	0			
black grape raita,kaale angur ka raita	SUCCESS	SUCCESS	https://www.tarladalal.com/Kale-Angoor-ka-Raita-6485r	100	0	66.86060606	3.133818182	2.635272727	8.085939394	0.338181818	0.070848485	543.7515152	0	1.488072727	4.363636364	0			
