recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
moong dal n paneer chilla,100,251.7867299,15.67867299,8.484739336,28.27990521,3.765876777,2.44985782,914.5165877000001,0.139336493,1.045563981,7.734597156,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"herbed paneer parantha,paneer and herbs parantha,herbed paneer paratha",100,245.83606559999998,9.898032787,12.45442623,25.69540984,4.4032786889999995,0.22,1748.0983609999998,0.057704918,5.071213115,21.63934426,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
oriental vegetables in peanut sauce,100,244.90888030000002,6.466386099999999,5.741189189,34.18071815,1.5542857140000002,1.834648649,967.7210811000001,0.0,1.634362162,7.135135135,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
sweet corn cakes,100,239.50757579999998,4.158181818,10.66727273,32.34151515,2.4666666669999997,4.003484848,459.64393939999997,0.16,0.769787879,1.9090909090000001,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"homestyle matar paneer,matar paneer,cottage cheese and green peas",100,233.2263514,13.49324324,7.136486486,29.72966216,10.68378378,5.152837838,379.3141892,0.0,2.074675676,11.0,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"spinach and paneer parantha,palak paneer ka parantha,spinach and 
cottage cheese flatbread",100,231.31395350000003,8.156831395,6.944883721,35.57325581,3.186918605,0.73494186,1204.56686,0.061395349,0.472616279,2.9651162789999996,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"grilled tofu hunan style,grilled tofu,hunan tofu,tofu in hunan sauce",100,200.6036217,11.40571429,11.46438632,12.9505835,2.792756539,0.693963783,2443.895372,0.07082495,1.2659476859999998,6.881287726,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
tofu salad,100,199.072703,14.632332,5.877262438,24.52147214,9.72627525,4.261848621,1053.5954179999999,0.011789672,0.786214808,4.6265817810000005,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"semiya payasam,semiya kheer,vermicelli kheer,vermicelli payasam",100,197.6512821,4.157538462,6.358974358999999,31.53097436,0.101538462,10.41774359,647.0153846,0.123076923,1.408707692,7.692307692000001,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
mushrooms tofu n vege curry,100,196.2963636,11.73488182,4.67959697,27.82157576,10.58448485,3.406172727,870.029697,0.034181817999999996,0.502560909,3.454545455,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
chocolate milkshake,100,194.33333330000002,3.6625641030000002,9.287179487000001,24.03825641,0.115384615,7.474871795,658.4615385,0.123076923,1.558974359,7.384615385,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
"wok tossed tofu hunan style,hunan tofu,tofu in hunan sauce,hunan curry with tofu",100,190.6639839,11.25118712,11.51428571,13.50752515,2.792756539,0.7301810870000001,2170.224145,0.11106639800000001,1.266792757,6.881287726,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
chicken spinach and feta salad,100,184.842538,9.257527867,3.941521111,29.23128333,5.771361982,4.994390761,161.85186059999998,5.67383e-05,1.040104486,4.4722025819999995,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
