recipe_name,ingredient_not_found,Error,item_link,weight,quantity,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm
nutella and ferero rocher milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Nutella-Ferrero-Rocher-Milkshake-41379r,630.0,,927.7,27.6,33.480000000000004,127.48,0.8,108.16,2096.0,0.4,3.8,84.0,0.0
dry fruit milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Dry-Fruit-Milkshake-41868r,659.0,,1521.61,42.358,96.1682,134.49179999999998,15.342,46.041799999999995,4200.1,2.81,11.87796,51.0,0.0
cocoa milkshake,SUCCESS,SUCCESS,https://www.tarladalal.com/Cold-Cocoa-Milkshake-39021r,517.5,,739.175,19.475,23.025,115.0525,2.8125,49.9,4521.0,0.8,7.6,48.0,0.0
oatmeal with almond milk,SUCCESS,SUCCESS,https://www.tarladalal.com/Healthy-Peanut-Almond-Milk-Oatmeal-for-Breakfast-41697r,983.75,,2869.2875,96.857375,71.7465,464.0616250000001,70.75374999999998,22.285125,395.95000000000005,0.021,7.164062500000001,1.05,0.0
oatmeal with milk,SUCCESS,SUCCESS,,385.0,,659.1500000000001,25.0025,16.302,104.14500000000001,13.635,1.3365,2628.1,0.5,6.2485,30.0,0.0
oatmeal with skimmed milk,SUCCESS,SUCCESS,,385.0,,584.1500000000001,24.0025,9.052,102.89500000000001,13.635,1.3365,8.100000000000001,0.0,1.4985000000000002,0.0,0.0
horlicks milkshake,SUCCESS,SUCCESS,http://www.bakespace.com/recipes/detail/Malt-%28Horlicks%29-Milkshake/44703/,787.0,,792.19,29.75,27.54,105.35,0.544,63.9866,5300.0,1.0,9.5,100.80000000000001,2.025
pomegranate juice,SUCCESS,SUCCESS,http://foodviva.com/juice-recipes/pomegranate-juice-recipe/,300.0,,130.0,3.2,0.2,29.0,5.6,0.0,5.8,0.0,0.0,0.0,0.0
carrot juice,SUCCESS,SUCCESS,https://www.blendtec.com/recipes/carrot-juice,568.0,,169.70000000000002,3.8271000000000006,1.0185,39.888099999999994,11.305,19.389,282.53999999999996,0.0,0.16009,0.0,0.0
citrus cooler,SUCCESS,SUCCESS,https://www.thespruce.com/citrus-cooler-lemon-lime-orange-drink-3051558,1177.8,,1259.4,1.2,1.08,313.26,0.0,299.4,33.0,0.0,0.0,0.0,0.0
bournvita milkshake,SUCCESS,SUCCESS,http://www.bakespace.com/recipes/detail/Malt-%28Horlicks%29-Milkshake/44703/,787.0,,793.09,29.150000000000002,27.509999999999998,106.25,0.544,72.61160000000001,5240.0,1.0,9.635,100.80000000000001,0.0
tropical treat,SUCCESS,SUCCESS,http://www.chezshuchi.com/Tropical-treat.html,1280.0,,882.6135021097045,5.327999999999999,2.7840000000000003,214.3424641350211,16.48,101.10464135021097,167.79999999999998,0.0,0.0,0.0288,0.0
"double melon cool,","JELL-O Lemon Flavor Gelatin,cantaloupe balls",Ingredent does not exist in the db
"green angel,,","peach shnapps,Pisang ambon,Lemonade,Ice Cube",Ingredent does not exist in the db
"lime freeze,","Lime Sorbet,Frozen Limeade Concentrate",Ingredent does not exist in the db
lime mint cooler,Ginger Juice,Ingredent does not exist in the db
melon cooler,SUCCESS,SUCCESS,https://www.epicurious.com/recipes/food/views/melon-coolers-354505,1084.0,,62.709999999999994,0.0861,0.0436,16.3584,0.081,15.662399999999998,170.44,0.0,0.00804,0.0,0.0
